gene,log2FoldChange,padj,product_description,go_term,pathway_name
ptsP,2.3813993302044776,1.9841151884561038e-6,phosphoenolpyruvate-protein phosphotransferase PtsP,"transferase activity, transferring phosphorus-containing groups",Phosphotransferase system (PTS)
purE,3.139835265271944,1.165348574584533e-5,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",'de novo' IMP biosynthetic process,Biosynthesis of antibiotics
recA,2.1454242229900955,0.009908284204040725,RecA protein,DNA binding,Homologous recombination
recB,4.235984846316447,4.705746513047725e-10,exodeoxyribonuclease V beta chain,ATP binding,Homologous recombination
rpiA,1.1734822618772136,0.01815605917794228,ribose 5-phosphate isomerase,ribose-5-phosphate isomerase activity,Biosynthesis of amino acids
rplJ,2.0074789588772317,3.1258775165554763e-6,50S ribosomal protein L10,ribosome biogenesis,Ribosome
rplL,3.7142786445008977,6.46560641594403e-17,50S ribosomal protein L7 / L12,structural constituent of ribosome,Ribosome
rplO,3.4354419558962763,3.4678983074264505e-10,50S ribosomal protein L15,structural constituent of ribosome,Ribosome
rplS,2.13403861186448,0.004021216121980324,50S ribosomal protein L19,structural constituent of ribosome,Ribosome
rpmC,1.4075413933168048,0.013441463611611101,50S ribosomal protein L29,structural constituent of ribosome,Ribosome
rpoB,2.310159220460534,3.056001482720718e-7,DNA-directed RNA polymerase beta chain,DNA-directed 5'-3' RNA polymerase activity,Metabolic pathways
rpsF,1.6525614203097991,0.007579067160385956,30S ribosomal protein S6,structural constituent of ribosome,Ribosome
secA,1.5449536192794573,0.004764892187750299,secretion protein SecA,ATP binding,Bacterial secretion system
secF,3.4376977060011464,0.016427549159564632,secretion protein SecF,intracellular protein transport,Bacterial secretion system
secY,1.0367736236649272,0.015186985307836295,secretion protein SecY,membrane,Bacterial secretion system
selD,1.60825727875161,1.237533992330863e-4,selenophosphate synthetase,ATP binding,Metabolic pathways
tatB,1.443061258969463,0.008767665042435268,translocation protein TatB,membrane,Bacterial secretion system
uvrD,1.125026735530753,0.03582872219150839,UvrD helicase,DNA helicase activity,Mismatch repair
zur,1.4872015516728214,0.043868745907271176,"zinc uptake regulator, Zur",DNA-binding transcription factor activity,Quorum sensing
